 ,English,Swedish,French,Italian,German,Spanish,Russian,Romanian,Bulgarian,Macedonian,Finnish,Danish,Icelandic,Turkish,Lithuanian,Czech,Hungarian,Polish,Dutch,Portuguese_European,Portuguese_Brazilian,Chinese,Japanese,Korean
item_trophy_foresttroll_lore,The leathery skin bears the faded tracery of ancient symbols.,Den läderaktiga huden bär spår från uråldriga symboler.,D’anciens symboles ternis par le temps ornent cette peau coriace.,La pelle coriacea porta i segni sbiaditi dei simboli antichi.,Die ledrige Haut trägt die Überreste uralter Symbole.,La piel de cuero cuenta con una tracería apenas visible de símbolos ancestrales.,На грубой коже едва различимы какие-то древние символы.,Pielea carpita are semne antice pe ea,,Има некакви симболи по кожата.,,,Leðurkenda húðin ber ummerki á sér af gömlum táknum.,"Trolün kösele gibi derisi, kadim sembollerin solmuş izlerini taşıyor.",,,A bőr ősi szimbólumok megfakult körvonalát viseli magán.,Szorstka skóra nosi ślady maswerków ze starożytnymi symbolami.,De leerachtige huid bevat vervaagde sporen van oeroude symbolen.,A pele semelhante a couro com sinais desvanecidos de símbolos antigos.,A pele curtida exibe traços de símbolos antigos esmaecidos.,皮革般的皮肤上隐约可现古老印记的痕迹。 ,革のような肌には古代の紋章の消えかけた痕跡が並んでいる。 ,가죽 같은 피부에는 흐릿해진 고대의 기호가 남아 있습니다.
item_trophy_frosttroll,Frost Troll trophy,,Trophée de troll de givre,Trofeo del troll del gelo,Frosttroll-Trophäe,Trofeo del trol de la escarcha,Трофей: ледяной тролль,,,,,,Frosttrölla haus,Buz Trolü avı ganimeti,,,Fagytroll trófea,Trofeum lodowego trolla,Vorsttroltrofee,Troféu Troll do Gelo,Troféu Troll do Gelo,冰霜巨魔战利品,霜のトロルのトロフィー,냉기 트롤 트로피
item_trophy_frosttroll_description,The eyes still glitter and swirl with silvery flecks. Don't look into them for too long...,Ögonen virvlar fortfarande med glittrande fläckar. Titta inte i dem för länge...,Ses yeux brillent encore de mille feux argentés. Évitez de les regarder trop longtemps...,Gli occhi brillano ancora e si agitano con riflessi argentati. Non guardarli troppo a lungo ...,Silbrige Flecken glitzern und kreisen noch immer in den Augäpfeln. Lass deinen Blick nicht zu lange auf diesen Augen ruhen …,Aún se ve el brillo de unas motas plateadas en los ojos. Será mejor que no te los quedes mirando...,В глазах тролля затаился жуткий серебристый блеск. Лучше в них не всматриваться…,Ochii inca stralucesc cu lumini argintii. Nu te uita prea mult in ei...,,Очите уште светат со јак блесок. Не гледај во нив предолго..,,,Augun glitra og sveiflast með silfruðum flekkjum. Ekki stara í þau of lengi.,Gözlerinin içindeki gümüş renkli benekler hâlâ parıldayıp fırıl fırıl dönüyor. Uzun süre bakma...,,,"A szemek még mindig az ezüstös pöttyöktöl csillognak, és kavarognak. Ne nézz túl sokáig beléjük...",W tych wciąż błyszczących oczach wirują srebrzyste drobinki. Nie patrz w nie zbyt długo...,De ogen fonkelen nog vol zilverige vlekken. Kijk er maar niet te lang in…,Os olhos ainda brilham e contêm salpicos prateados. Não olhes para eles durante muito tempo...,"Os olhos ainda giram e cintilam com um brilho prateado, mas não fique olhando por muito tempo...",眼睛上银色的斑点仍在闪烁转动。 不要盯着它太久……,その目には未だに銀色の輝きが渦巻いている。 あまり長い間見続けない方がいい…,눈이 아직 반짝이고 은색 얼룩이 아른거립니다. 너무 오랫동안 들여다보지 마세요...
item_trophy_frosttroll_lore,The eyes still glitter and swirl with silvery flecks. Don't look into them for too long...,Ögonen virvlar fortfarande med glittrande fläckar. Titta inte i dem för länge...,Ses yeux brillent encore de mille feux argentés. Évitez de les regarder trop longtemps...,Gli occhi brillano ancora e si agitano con riflessi argentati. Non guardarli troppo a lungo ...,Silbrige Flecken glitzern und kreisen noch immer in den Augäpfeln. Lass deinen Blick nicht zu lange auf diesen Augen ruhen …,Aún se ve el brillo de unas motas plateadas en los ojos. Será mejor que no te los quedes mirando...,В глазах тролля затаился жуткий серебристый блеск. Лучше в них не всматриваться…,Ochii inca stralucesc cu lumini argintii. Nu te uita prea mult in ei...,,Очите уште светат со јак блесок. Не гледај во нив предолго..,,,Augun glitra og sveiflast með silfruðum flekkjum. Ekki stara í þau of lengi.,Gözlerinin içindeki gümüş renkli benekler hâlâ parıldayıp fırıl fırıl dönüyor. Uzun süre bakma...,,,"A szemek még mindig az ezüstös pöttyöktöl csillognak, és kavarognak. Ne nézz túl sokáig beléjük...",W tych wciąż błyszczących oczach wirują srebrzyste drobinki. Nie patrz w nie zbyt długo...,De ogen fonkelen nog vol zilverige vlekken. Kijk er maar niet te lang in…,Os olhos ainda brilham e contêm salpicos prateados. Não olhes para eles durante muito tempo...,"Os olhos ainda giram e cintilam com um brilho prateado, mas não fique olhando por muito tempo...",眼睛上银色的斑点仍在闪烁转动。 不要盯着它太久……,その目には未だに銀色の輝きが渦巻いている。 あまり長い間見続けない方がいい…,눈이 아직 반짝이고 은색 얼룩이 아른거립니다. 너무 오랫동안 들여다보지 마세요...
item_trophy_troll,Troll trophy,,Trophée de troll,Trofeo del troll,Troll-Trophäe,Trofeo de trol,Трофей: тролль,,,,,,Trölla haus,Trol avı ganimeti,,,Trolltrófea,Trofeum trolla,Troltrofee,Troféu Troll,Troféu Troll,巨魔战利品,トロルのトロフィー,트롤 트로피
item_trophy_troll_description,The leathery skin bears the faded tracery of ancient symbols.,Den läderaktiga huden bär spår från uråldriga symboler.,D’anciens symboles ternis par le temps ornent cette peau coriace.,La pelle coriacea porta le tracce sbiadite di simboli antichi.,Die ledrige Haut trägt die Überreste uralter Symbole.,La piel de cuero cuenta con una tracería apenas visible de símbolos ancestrales.,На грубой коже едва различимы какие-то древние символы.,,,,,,Leður húðin hefur dofnuð ummerki um forn merki.,"Trolün kösele gibi derisi, kadim sembollerin solmuş izlerini taşıyor.",,,A bőr ősi szimbólumok megfakult körvonalát viseli magán.,Szorstka skóra nosi ślady maswerków ze starożytnymi symbolami.,De leerachtige huid bevat vervaagde sporen van oeroude symbolen.,A pele semelhante a couro com sinais desvanecidos de símbolos antigos.,A pele curtida exibe traços de símbolos antigos esmaecidos.,皮革般的皮肤上隐约可现古老印记的痕迹。 ,革のような肌には古代の紋章の消えかけた痕跡が並んでいる。 ,가죽 같은 피부에는 흐릿해진 고대의 기호가 남아 있습니다.
item_trophy_troll_lore,The leathery skin bears the faded tracery of ancient symbols.,Den läderaktiga huden bär spår från uråldriga symboler.,D’anciens symboles ternis par le temps ornent cette peau coriace.,La pelle coriacea porta le tracce sbiadite di simboli antichi.,Die ledrige Haut trägt die Überreste uralter Symbole.,La piel de cuero cuenta con una tracería apenas visible de símbolos ancestrales.,На грубой коже едва различимы какие-то древние символы.,,,,,,Leður húðin hefur dofnuð ummerki um forn merki.,"Trolün kösele gibi derisi, kadim sembollerin solmuş izlerini taşıyor.",,,A bőr ősi szimbólumok megfakult körvonalát viseli magán.,Szorstka skóra nosi ślady maswerków ze starożytnymi symbolami.,De leerachtige huid bevat vervaagde sporen van oeroude symbolen.,A pele semelhante a couro com sinais desvanecidos de símbolos antigos.,A pele curtida exibe traços de símbolos antigos esmaecidos.,皮革般的皮肤上隐约可现古老印记的痕迹。 ,革のような肌には古代の紋章の消えかけた痕跡が並んでいる。 ,가죽 같은 피부에는 흐릿해진 고대의 기호가 남아 있습니다.
item_trophy_skeleton,Skeleton trophy,,Trophée de squelette,Trofeo scheletrico,Skelett-Trophäe,Trofeo de esqueleto,Трофей: скелет,,,,,,Beinagrinds hauskúpa,İskelet avı ganimeti,,,Csontváz trófea,Trofeum kościotrupa,Skelettrofee,Troféu Esqueleto,Troféu Esqueleto,枯骨战利品,骸骨のトロフィー,해골 트로피
item_trophy_skeleton_description,The expressionless grin of this skull reminds you of the inevitability of death.,,Le rictus inexpressif de ce crâne vous rappelle le caractère inéluctable de la mort.,,Das ausdruckslose Grinsen dieses Schädels erinnert dich an die Unausweichlichkeit des Todes.,La sonrisa inexpresiva de esta calavera te recuerda a la inexorabilidad de la muerte.,Бездушный оскал этого черепа напоминает о неизбежности смерти.,,,,,,,Bu kurukafanın ifadesiz sırıtışı sana ölümün kaçınılmazlığını hatırlatıyor.,,,,Martwy uśmiech tej czaszki przypomina o nieuchronności śmierci.,De uitdrukkingsloze grijns van de schedel doet je denken aan de onontkoombaarheid van de dood.,,O sorriso inexpressivo deste crânio é um lembrete da inevitabilidade da morte.,毫无表情的骷髅头提醒着你死亡的必然性。 ,この頭蓋骨の無表情な笑顔は、死を避けられないことを思い出させてくれる。 ,
item_trophy_skeleton_lore,The expressionless grin of this skull reminds you of the inevitability of death.,,Le rictus inexpressif de ce crâne vous rappelle le caractère inéluctable de la mort.,,Das ausdruckslose Grinsen dieses Schädels erinnert dich an die Unausweichlichkeit des Todes.,La sonrisa inexpresiva de esta calavera te recuerda a la inexorabilidad de la muerte.,Бездушный оскал этого черепа напоминает о неизбежности смерти.,,,,,,,Bu kurukafanın ifadesiz sırıtışı sana ölümün kaçınılmazlığını hatırlatıyor.,,,,Martwy uśmiech tej czaszki przypomina o nieuchronności śmierci.,De uitdrukkingsloze grijns van de schedel doet je denken aan de onontkoombaarheid van de dood.,,O sorriso inexpressivo deste crânio é um lembrete da inevitabilidade da morte.,毫无表情的骷髅头提醒着你死亡的必然性。 ,この頭蓋骨の無表情な笑顔は、死を避けられないことを思い出させてくれる。 ,
item_trophy_skeletonpoison,Rancid remains trophy,,Trophée de cadavre rance,Trofeo della putrefazione,Ranzige-Überreste-Trophäe,Trofeo de restos rancios,Трофей: гниющие останки,,,,,,,Kokuşmuş kemikler avı ganimeti,,,Rothadó maradvány trófea,Trofeum zjełczałych szczątków,Ranzige restentrofee,Troféu Restos Mortais Rançosos,Troféu Restos Repugnantes,腐臭遗骸战利品,腐敗した残骸のトロフィー,변질된 유해 트로피
item_trophy_skeletonpoison_description,A rank and rotten skull. You're not sure why you kept it...,,Un crâne pourri. Vous ne savez pas trop pourquoi vous l'avez gardé...,,"Ein ranziger, verrotteter Schädel. Du bist dir nicht sicher, warum du ihn aufgehoben hast …",Una calavera fétida y putrefacta. No sabes por qué te la has quedado…,"Вонючий гнилой череп. Вы не знаете, почему его сохранили...",,,,,,,Kokuşmuş ve çürümüş bir kurukafa. Niye hâlâ sakladığını bilmiyorsun...,,,,"Śmierdząca przegniła czaszka. Właściwie to nie wiesz, dlaczego wciąż ją masz...","Een smerige, verrotte schedel. Je weet niet zeker waarom je die hebt gehouden…",,Um crânio rançoso e podre. Você não entende bem por que quis ficar com ele…,一颗颓丧腐烂的头骨，你并不知道你为什么还留着它...,悪臭を放つ腐った頭蓋骨。 なぜこんなものを大事に持っているんだろう...,
item_trophy_skeletonpoison_lore,A rank and rotten skull. You're not sure why you kept it...,,Un crâne pourri. Vous ne savez pas trop pourquoi vous l'avez gardé...,,"Ein ranziger, verrotteter Schädel. Du bist dir nicht sicher, warum du ihn aufgehoben hast …",Una calavera fétida y putrefacta. No sabes por qué te la has quedado…,"Вонючий гнилой череп. Вы не знаете, почему его сохранили...",,,,,,,Kokuşmuş ve çürümüş bir kurukafa. Niye hâlâ sakladığını bilmiyorsun...,,,,"Śmierdząca przegniła czaszka. Właściwie to nie wiesz, dlaczego wciąż ją masz...","Een smerige, verrotte schedel. Je weet niet zeker waarom je die hebt gehouden…",,Um crânio rançoso e podre. Você não entende bem por que quis ficar com ele…,一颗颓丧腐烂的头骨，你并不知道你为什么还留着它...,悪臭を放つ腐った頭蓋骨。 なぜこんなものを大事に持っているんだろう...,
item_trophy_wraith,Wraith trophy,,Trophée de spectre,Trofeo dello spettro,Phantomgeist-Trophäe,Trofeo del espectro,Трофей: призрак,,,,,,Gangára skinn,Heyula avı ganimeti,,,Kísértettrófea,Trofeum zjawy,Schimtrofee,Troféu Espectro,Troféu Espectro,鬼魅战利品,死霊のトロフィー,망령 트로피
